,qid,docid,docno,rank,score,query,text,shoeName
0,1,1047,6374ff50c30ceb3748b48821,0,6.518408252849133,Winter training shoes ,The Air Jordan 4 Winter 'Loyal Blue' brings a winterized build to Michael Jordan's fourth signature shoe. The upper is built with Loyal Blue nubuck with a fleece inner lining insulating the fit. The shoe's signature eyelet flange remains intact while underfoot the white Air midsole provides cushioning and contrast. A herringbone rubber outsole provides traction.,Jordan 4 Retro Winterized Loyal Blue
1,1,122,6374feabeae4ab372ce3e68f,1,6.077806523891611,Winter training shoes ,A collaboration between ASICS and Spanish retailer 24 Kilates this GelLyte 3 '24 Kilates Express' is inspired by the train route that connects Singapore Malaysia and Thailand. Its multicolored upper of suede nubuck and leather is inspired by the interior of the train’s cabins. Completing the look is a two-tone midsole embroidered metallic logo on the heel and co-branding on the tongue,ASICS Gel-Lyte III 24 Kilates Express
2,1,2274,6374ff48c30ceb3748b4822a,2,5.813862917955282,Winter training shoes ,The Riccardo Tisci x NikeLab Free Train Force Flyknit ‘Multicolor’ dropped in 2016 as part of the ‘Summer of Sport’ Collection combining the designer’s creative vision with the Swoosh’s innovative materials to upend traditional training footwear. Here a breathable Flyknit upper features a sock-like collar and Flyknit cables for a snug fit while a Nike Free sole delivers flexible comfort.,Nike Free Train Force Flyknit Tisci Multi-Color
3,1,1746,6374fd8803a96e36ed3d3e0d,3,5.620763186925837,Winter training shoes ,The Game of Thrones x UltraBoost 4.0 'House Stark' released as part of the Game of Thrones collection in March 2019. The shoe's Core Black and grey colorway gives the nod to the Stark's sigil colors with the Primeknit construction supported by an external heel counter and Three-Stripes lacing cage. The heel tag sports 'Winter is Coming' while fleece emerges on the inner sleeve. Underfoot a grey Boost midsole gives way to a treaded outsole to complete the winterized build.,adidas Ultra Boost 4.0 Game of Thrones House Stark
4,1,395,6374ff4bc30ceb3748b4859e,4,5.239373176699036,Winter training shoes ,The Air Zoom Tempo NEXT% Flyknit 'Black White Volt' is an everyday training shoe. The shoe's upper is built with Flyknit finished in black and supported by synthetic no-sew overlays. An asymmetrical lacing system bolsters the fit while underfoot the midsole combines React with ZoomX foam sporting visible Zoom Air in the forefoot for added cushioning. A full-length plate is included for stability.,Nike Air Zoom Tempo Next% Flyknit Black White
5,1,1390,6374fd7803a96e36ed3d3bd2,5,5.233932933589913,Winter training shoes ,The Free Metcon 3 'Anthracite' blacks out its performane training construction. The shoe's upper is built with mesh and supported by no-sew overlays while the Swoosh branding offers the only hit of contrast. The side wall includes rigid inserts to bolster the fit while underfoot the midsole combines Nike Free in the forefoot with a wide heel to anchor the design.,Nike Free Metcon 3 Black
6,1,2895,6374feb3eae4ab372ce3eae7,6,5.230128975287002,Winter training shoes ,The Calibrate Restored Winterized 'Thyme White' is a weatherized shoe with modern performance technology. The shoe's upper is built with a black mesh base overlaid by suede and textile on the vamp. Orange hits highlight the Puma tag and upper eyelets while underfoot XETIC foam provides cushioning incorporating a lab-designed foam structure.,Puma Calibrate Restored Winterized Thyme White
7,1,1255,6374ff50c30ceb3748b489a0,7,5.01536727748623,Winter training shoes ,The Air Jordan 9 Retro OG 'Space Jam' 2016 released to help celebrate the 20th anniversary of Space Jam. The look recreates the shoes that were taken from Michael Jordan's house by Daffy Duck and Bugs Bunny in the film which Jordan later wore during the film's training montage. The black and white design is accented by True Red on the branding most notably on the heel.,Jordan 9 Retro OG (2016)
8,1,1528,6374fd5403a96e36ed3d215a,8,4.863058638530467,Winter training shoes ,The Wmns Zoom Pegasus Turbo 2 'Lab Green' is designed for everyday training. Releasing in July 2019 the same year that the silhouette debuted this women's shoe features a mesh and synthetic upper in Lab Green Electric Green Vapor Green and Pumice. An inner band is included to support the lacing system while underfoot a ZoomX midsole provides cushioning. The heel of the tooling is tapered to promote a more natural stride.,Nike Zoom Pegasus Turbo 2 Lab Green (W)
9,1,3097,6374fd9603a96e36ed3d40e1,9,4.62877774434275,Winter training shoes ,Inspired by Japan's bullet trains this iconic 1990s running shoe returns in 2022 with the Nike Air Max 97 OG ‘Silver Bullet.’ Underfoot is the classic full-length Nike Air unit while the fluid lines of the upper in mesh with leather wavy overlays don the signature metallic silver of the original. A Varsity Red Swoosh adorns the tongue and quarter panel. The midsole in white atop a rubber outsole in black provides support and comfort.,Nike Air Max 97 OG Silver Bullet (2022)
